_id,barcode,category,categoryCode,cpg,name,topBrand
{'$oid': '601ac115be37ce2ead437551'},511111019862,Baking,BAKING,601ac114be37ce2ead437550,test brand @1612366101024,False
{'$oid': '601c5460be37ce2ead43755f'},511111519928,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Starbucks,False
{'$oid': '601ac142be37ce2ead43755d'},511111819905,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146176,False
{'$oid': '601ac142be37ce2ead43755a'},511111519874,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146051,False
{'$oid': '601ac142be37ce2ead43755e'},511111319917,Candy & Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,test brand @1612366146827,False
{'$oid': '601ac142be37ce2ead43755b'},511111719885,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146091,False
{'$oid': '601ac142be37ce2ead43755c'},511111219897,Baking,BAKING,601ac142be37ce2ead437559,test brand @1612366146133,False
{'$oid': '5cdad0f5166eb33eb7ce0faa'},511111104810,Condiments & Sauces,,559c2234e4b06aca36af13c6,J.L. Kraft,
{'$oid': '5ab15636e4b0be0a89bb0b07'},511111504412,Canned Goods & Soups,,5a734034e4b0d58f376be874,Campbell's Home Style,False
{'$oid': '5c408e8bcd244a1fdb47aee7'},511111504788,Baking,,59ba6f1ce4b092b29c167346,test,
{'$oid': '5f4bf556be37ce0b4491554d'},511111516354,Baking,BAKING,5f4bf556be37ce0b44915549,test brand @1598813526777,
{'$oid': '57c08106e4b0718ff5fcb02c'},511111102540,,,5332f5f2e4b03c9a25efd0aa,MorningStar,
{'$oid': '588ba07be4b02187f85cdadd'},511111201076,Baking,,559c2234e4b06aca36af13c6,Calumet,False
{'$oid': '5d6413156d5f3b23d1bc790a'},511111205012,Magazines,,5d5d4fd16d5f3b23d1bc7905,Entertainment Weekly,
{'$oid': '585a9611e4b03e62d1ce0e74'},511111801801,Breakfast & Cereal,,5332f5fbe4b03c9a25efd0ba,AUNT JEMIMA Syrup,False
