receipt_id,purchase_date,rewards_product_partner_id,barcode,description,quantity_purchased,final_price,rewardsReceiptStatus,bonusPointsEarnedReason,pointsEarned,totalSpent
5ff1e1eb0a720f0523000575,1609632000.0,,4011,ITEM NOT FOUND,5,26.0,FINISHED,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,26.00
5ff1e1bb0a720f052300056b,1609601083.0,,4011,ITEM NOT FOUND,2,11.0,FINISHED,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",150.0,11.00
5ff1e1f10a720f052300057a,1609632000.0,,,,0,0.0,REJECTED,All-receipts receipt bonus,5,10.00
5ff1e1ee0a7214ada100056f,1609632000.0,,4011,ITEM NOT FOUND,4,28.0,FINISHED,All-receipts receipt bonus,5.0,28.00
5ff1e1d20a7214ada1000561,1609601106.0,,4011,ITEM NOT FOUND,4,3.56,FINISHED,All-receipts receipt bonus,5.0,1.00
5ff1e1e40a7214ada1000566,1609601124.0,5332f5fbe4b03c9a25efd0ba,4011,ITEM NOT FOUND,1,3.25,FINISHED,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,3.25
5ff1e1cd0a720f052300056f,1609687501.0,,,MSSN TORTLLA,1,2.23,FINISHED,All-receipts receipt bonus,5.0,2.23
5ff1e1a40a720f0523000569,1609027200.0,5332f5f3e4b03c9a25efd0ae,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",1,10.0,FINISHED,"Receipt number 2 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",500.0,10.00
5ff1e1ed0a7214ada100056e,1609632000.0,,4011,ITEM NOT FOUND,5,20.0,FINISHED,All-receipts receipt bonus,5.0,20.00
5ff1e1eb0a7214ada100056b,1609632000.0,,4011,ITEM NOT FOUND,3,20.0,FINISHED,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250.0,20.00
5ff1e1c50a720f052300056c,1609601093.0,,4011,ITEM NOT FOUND,1,1.0,FINISHED,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100.0,1.00
5ff1e1a10a720f0523000568,1609545600.0,5332f5f3e4b03c9a25efd0ae,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",5,50.0,FINISHED,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,50.00
5ff1e1b60a7214ada100055c,1612365878.0,5332f709e4b03c9a25efd0f1,034100573065,MILLER LITE 24 PACK 12OZ CAN,10,290.0,FLAGGED,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850.0,290.00
5f9c74f70a7214ad07000037,1604002679.0,559c2234e4b06aca36af13c6,075925306254,,1,1.0,REJECTED,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750.0,1.00
5ff1e1b20a7214ada100055a,1612365875.0,,4011,ITEM NOT FOUND,1,1.0,FINISHED,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300.0,1.00
